ID,caption,situation
23,"A photo of a Japanese woman wearing a burgundy crewneck sweater paired with wide-leg, pinstriped black trousers and black loafers. The outfit has a relaxed and slightly androgynous style, featuring comfortable yet fashionable pieces. She accessorizes with a simple black belt and keeps her hair tied back in a bun.",outfit for a casual office meeting on a mild spring day in a Shibuya corporate office
24,"A photo of a Japanese woman wearing a black lace mini dress with delicate detailing, paired with white crew socks and black chunky sneakers. She accessorizes with layered necklaces and a watch, completing a modern and slightly edgy casual look.",outfit for a friday night coffee meetup at a vintage cafe in shimokitazawa after a long workweek
25,"A photo of a Japanese woman wearing a black long-sleeved shirt with light-wash distressed denim jeans and black shoes. She is also wearing delicate pearl necklace and glasses, creating a casual yet chic aesthetic. The outfit showcases a relaxed, vintage-inspired style with a focus on comfortable denim and simple basics.",outfit for a leisurely Saturday morning coffee at a vintage café in Nakameguro
26,A photo of a Japanese woman wearing a beige textured coat over a dark-colored dress and paired with black loafers. She carries a structured black handbag and sports white socks with her shoes. The outfit has a classic and slightly vintage aesthetic with a focus on layering and neutral tones.,outfit for a winter office meeting in a Tokyo corporate building on a chilly February morning
27,A photo of a Japanese woman wearing a white long-sleeve top and black wide-leg trousers with a black Yankees cap and black leather shoes. She is also carrying a black tote bag and the outfit creates a minimalist and casual street style aesthetic.,outfit for a casual lunch meeting at a modern cafe in shibuya after a morning office day
28,"A photo of a Japanese woman wearing a black tailored suit with wide-leg trousers and a cream-colored top underneath. She accessorizes with a delicate gold necklace, white pointed-toe shoes, and a soft pink quilted handbag. The outfit presents a sophisticated and minimalist aesthetic, blending classic tailoring with subtle color contrasts.",outfit for attending a high profile business networking dinner in Roppongi Hills
29,"A photo of a Japanese woman wearing a black puffer vest over a white long-sleeved shirt and wide-leg striped trousers. She is also wearing brown clogs, creating a casual and comfortable street style look. The outfit combines neutral colors with a relaxed, oversized fit.",outfit for a rainy Sunday walk through the autumn leaves at Ueno Park heading to a local coffee shop
30,"A photo of a Japanese woman wearing a light pink ribbed knit cardigan over a white top, paired with a black and white checkered long skirt featuring a ruffled hem. She is carrying a black tote bag and wearing white sneakers, completing a casual and feminine style.",outfit for a relaxed cherry blossom stroll through Ueno Park on a bright spring morning with friends
31,"A photo of a Japanese woman wearing a grey, button-down cardigan over a matching top, paired with wide-leg black trousers and black boots. The outfit features a minimalist and casual style, with muted colors and relaxed silhouettes. She is also wearing a small black crossbody bag.",outfit for a casual office lunch in shibuya after a brief rain
32,"A photo of a Japanese woman wearing a cream-colored, short-sleeved collared shirt paired with a dark blue, full-length overall skirt. She is accessorizing with blue and black sandals and carrying a tan canvas bucket bag. The outfit showcases a relaxed and casual style with a touch of vintage charm.",outfit for wandering the nostalgic streets of Shimokitazawa in autumn
33,"A photo of a Japanese woman wearing a black t-shirt with white lettering, a light green quilted bomber jacket, and a long white lace maxi skirt. She is also wearing black platform shoes and a light green baseball cap, carrying an orange tote bag, presenting a maximalist and layered street style.",outfit for bright autumn afternoon wandering neon lit streets of Ikebukuro stopping at crepe stand with friends
34,"A photo of a Japanese woman wearing a warm brown, button-down shirt with short sleeves and wide-leg, off-white trousers. She accessorizes with a dark leather belt and carries a brown leather tote bag. Her footwear consists of simple brown sandals, completing a relaxed and minimalist aesthetic.",outfit for a casual coffee break at a Shibuya cafe on a mild October morning
35,"A photo of a Japanese woman wearing a layered outfit with a light blue button-down shirt under a black, oversized puff-sleeve top and wide-leg black trousers. She is accessorizing with a black baseball cap and holding a Starbucks cup while sporting black chunky boots, exhibiting a modern and relaxed street style.",outfit for a casual weekend stroll through the blooming sakura promenade in Ueno Park during early spring
36,"A photo of a Japanese woman wearing a black sheer blouse with flared sleeves, paired with high-waisted white wide-leg trousers and black slide sandals. She is also carrying a black handbag, creating a chic and minimalist look with a touch of sophistication. The outfit embodies a modern and elegant style.",outfit for a morning coffee meeting with a client in a sleek minimal office in shibuya
37,A photo of a Japanese woman wearing a white button-down shirt with wide-leg blue denim jeans and black pointed-toe shoes. She carries a brown leather shoulder bag and accessorizes with delicate silver necklaces. The outfit presents a relaxed and chic casual style.,outfit for a Saturday morning stroll through the cherry blossom lined streets of Ueno Park
38,"A photo of a Japanese woman wearing a white graphic tee and wide-leg, dark green trousers. She is also wearing black loafers and sunglasses, completing a relaxed and casual outfit with a touch of vintage style. The overall look is minimalist and comfortable.",outfit for strolling through a sunny autumn street in shibuya grabbing coffee at a trendy cafe
39,"A photo of a Japanese woman wearing a black cardigan over a white t-shirt and paired with wide-leg, beige trousers. She is carrying a brown tote bag and wearing black loafers, completing a minimalist and relaxed style.",outfit for a casual business meeting at a small office in shinjuku on a cool spring morning
40,"A photo of a Japanese woman wearing a black blazer and wide-leg trousers with a delicate lace blouse underneath. She completes the sophisticated look with classic black pointed-toe heels, creating a chic and modern ensemble. The outfit features a monochromatic color scheme with a touch of texture from the lace detailing.",outfit for a corporate board meeting in a glass tower office on the 32nd floor of a Shinjuku skyscraper during the autumn harvest season
41,"A photo of a Japanese woman wearing a maroon t-shirt with subtle graphic detailing, paired with light-wash denim shorts and black flip-flops. She is also carrying a large black tote bag, completing a casual and summery outfit. The style is relaxed and effortlessly chic, perfect for everyday wear.",outfit for a casual stroll through Ueno Park’s summer flower festival on a sunny day
42,"A photo of a Japanese woman wearing a black layered tulle dress over a sheer long-sleeved top, paired with white patterned tights and chunky white sneakers. The outfit showcases a gothic Lolita or fairy kei style with delicate textures and contrasting elements.","outfit for a cosplay gathering at a comic book shop in Akihabara, where she shows off her black tulle dress to fellow fans"
43,"A photo of a Japanese woman wearing a burgundy, long-sleeved sweater paired with a black and white plaid mini skirt. She is also wearing black tights and dark brown platform boots. A cream-colored handbag and a black beret complete the preppy and chic outfit.",outfit for a stylish coffee date at a boutique cafe in Shibuya after a busy office day
44,"A photo of a Japanese woman wearing an oversized olive green cardigan over a white top, paired with a long, textured, chartreuse maxi skirt and black platform loafers. The outfit showcases a relaxed and earthy aesthetic with a touch of bohemian flair.",outfit for a breezy Saturday brunch at a garden café in Kyoto
45,"A photo of a Japanese woman wearing a cream-colored fleece jacket over dark green sweatpants and white canvas sneakers. She accessorizes with a black beanie and a black backpack, creating a casual and comfortable street style look. The outfit features relaxed silhouettes and neutral tones for a cozy, everyday aesthetic.",outfit for a chilly morning walk to a coworking space in Ueno Park
46,"A photo of a Japanese woman wearing a tan hooded sweatshirt with bold white lettering, wide-leg light wash denim jeans, and a plaid flannel shirt tied around her waist. She is accessorized with a tan baseball cap and carries a large brown leather tote bag, completing the casual and relaxed street style look with red sneakers.",outfit for a casual Saturday stroll through a vintage shop in Shimokitazawa carrying a tote bag searching for seasonal fashion
47,"A photo of a Japanese woman wearing a white graphic t-shirt with colorful designs, a long patchwork maxi skirt featuring intricate blue and red patterns, light-wash denim jeans cropped at the ankle, and white canvas sneakers. She accessorizes with a black beret and carries a tote bag, creating a bohemian and eclectic fashion style.",outfit for a casual coffee date at a vintage cafe in Shimokitazawa
48,"A photo of a Japanese woman wearing a black long-sleeve knit top and a beige knitted midi skirt with a side slit. She accessorizes with a brown leather shoulder bag and black high heel pumps, creating a sophisticated and minimalist style.",outfit for a midafternoon business lunch with a client at a sleek Tokyo office building in early autumn
49,"A photo of a Japanese woman wearing a black jacket over a white top, paired with dark wash flared jeans and black boots. She accessorizes with sunglasses and a black quilted shoulder bag, showcasing a chic and casual style. The outfit features a blend of classic and contemporary designs, creating a sophisticated yet comfortable look.",outfit for a Saturday morning brunch at a stylish cafe in Nakameguro Tokyo after a stroll along the Meguro River
50,"A photo of a Japanese woman wearing a black oversized long-sleeve shirt with subtle white embroidery, paired with wide-leg, ripped cargo pants and platform boots. The outfit features a dark and edgy aesthetic with a streetwear influence, creating a cool and relaxed look.",outfit for attending an indie music festival at Yoyogi Park
51,"A photo of a Japanese woman wearing a light grey oversized sweatshirt with wide sleeves, paired with a long black knitted skirt and black loafers. She is accessorizing with a small black shoulder bag and delicate gold jewelry, completing a minimalist and comfortable street style look.",outfit for a casual weekend stroll through Ueno park enjoying the autumn foliage on a crisp Saturday morning
52,"A photo of a Japanese woman wearing a mauve zip-up hoodie over a white collared shirt and a layered white under-shirt. She pairs this with oversized, distressed light-wash denim cargo pants and grey sneakers. The overall style is a relaxed, layered street fashion look with a touch of grunge.",outfit for a casual stroll through the streets of Shimokitazawa on a rainy Sunday
53,"A photo of a Japanese woman wearing a gray oversized knit cardigan over a crisp white button-down shirt and wide-leg black trousers. She accessorizes with a black baseball cap and headphones, completing a relaxed and effortlessly cool street style look. The outfit features a mix of casual comfort and subtle sophistication with its muted color palette and comfortable silhouettes.",outfit for a relaxed commute to a coworking space in shibuya listening to music on headphones while passing by pop up shops
54,"A photo of a Japanese woman wearing a dark navy blue oversized collared shirt and wide-leg, light khaki trousers. She is also carrying a black tote bag and wearing dark shoes. The outfit creates a relaxed and minimalist aesthetic with a focus on comfortable silhouettes and neutral colors.",outfit for a casual office day at a Tokyo design studio during a late autumn rain
55,"A photo of a Japanese woman wearing a grey long-sleeved top, black wide-leg pants, and light grey sneakers. She accessorizes with a white handbag and a black headband. The overall style is casual and minimalist with a modern aesthetic.",outfit for breezy late spring bike commute to coworking space in Shibuya
56,"A photo of a Japanese woman wearing a cream-colored, button-down cardigan paired with wide-leg, dark gray trousers and black loafers. She is also carrying a small black handbag. The outfit presents a sophisticated and minimalist style with classic silhouettes.",outfit for a morning meeting with a client at a Tokyo office building
57,"A photo of a Japanese woman wearing a black oversized blazer over a light pink collared shirt, paired with a gray mini skirt. She is accessorizing with white socks and black platform loafers, completing a preppy and chic aesthetic. The outfit is finished with a black shoulder bag and showcases a modern take on classic styling.",outfit for a lighthearted lunch meeting with a colleague at a trendy ramen shop in shibuya after a morning of presentations
58,"A photo of a Japanese woman wearing a black long-sleeve cardigan layered over a white lace camisole and a long black leather skirt. She carries a black tote bag and wears dark blue loafers, completing a chic and edgy aesthetic with sunglasses.",outfit for a relaxed afternoon stroll through Omotesando's boutiques on a sunny spring day
59,"A photo of a Japanese woman wearing a cream-colored, knitted cardigan with ruffled shoulders, paired with wide-leg, black velvet trousers and black boots. The outfit has a vintage-inspired, cozy aesthetic with a touch of elegance.",outfit for a late autumn afternoon tea gathering at a historic Kyoto tea house
60,A photo of a Japanese woman wearing a black puffer jacket over a black top and a grey plaid mini skirt. She is accessorizing with black over-the-knee boots and carrying a large black tote bag. The outfit embodies a trendy and stylish street fashion aesthetic.,outfit for a late night stroll through Shibuya neon lit streets on a chilly winter evening en route to a ramen shop
61,A photo of a Japanese woman wearing a black and white plaid flannel shirt paired with wide-leg denim jeans. She is also holding a sheer white bag and sporting red footwear. The outfit embodies a casual and relaxed street style aesthetic.,outfit for wandering through a late autumn Tokyo street after a cherry blossom festival carrying a sheer white tote and wearing red shoes
62,A photo of a Japanese woman wearing a long black coat with gold buttons over a grey knitted midi skirt and black turtleneck sweater. She is also wearing black leather knee-high boots and carrying a dark purple woven tote bag. The outfit showcases a sophisticated and minimalist style with classic silhouettes and neutral colors.,outfit for a winter networking dinner at the rooftop bar of omotesando hills in tokyo
63,A photo of a Japanese woman wearing a burgundy cardigan with black wide-leg trousers and black loafers. She also has a grey and white patterned coat draped over her shoulder and carries a small white crossbody bag. The overall style is chic and classic with a touch of minimalist elegance.,outfit for a midmorning board meeting in a Tokyo office building during early autumn
64,"A photo of a Japanese woman wearing a light grey, knitted cardigan over a dark green t-shirt and wide-leg, medium-wash denim jeans. She accessorizes with a brown drawstring bag, a beige cap, and round, tortoiseshell glasses, completing a casual and comfortable street style look with white sneakers.",outfit for a sunny Sunday stroll through Ueno Park's botanical gardens
65,A photo of a Japanese woman wearing a gray knit cardigan over a black slip dress with wide-leg black trousers and black pointed-toe heels. The outfit features a relaxed yet sophisticated style with neutral tones and comfortable silhouettes. She is also holding a Starbucks cup and carries a small shoulder bag.,outfit for a late afternoon office meeting in Shibuya after a coffee break
66,"A photo of a Japanese woman wearing a monochrome outfit featuring a black crewneck sweatshirt and wide-leg cargo pants. She accessorizes with black loafers and carries a black shoulder bag, completing a minimalist and chic street style look. The overall aesthetic is relaxed yet sophisticated, showcasing a modern and effortless fashion choice.",outfit for a casual coffee date at a trendy café in Shimokitazawa
67,"A photo of a Japanese woman wearing a black puffer jacket over a grey plaid skirt and a black dress. She accessorizes with a cream-colored scarf and a beige chain bag, completing the look with black tights and brown loafers. The outfit creates a cozy and stylish layered aesthetic, blending elements of casual and feminine fashion.",outfit for a brisk lunch break in a shibuya cafe during a snowy february day
68,"A photo of a Japanese woman wearing a gray short-sleeve t-shirt layered under a black slip dress and paired with black sandals. She is also carrying a black shoulder bag, creating a minimalist and casual chic style. The outfit features flowing fabrics and a relaxed silhouette in neutral tones.",outfit for a leisurely walk through ueno park on a sunny cherry blossom day sipping matcha latte at a parkside cafe
69,"A photo of a Japanese woman wearing a gray knitted cardigan over a white graphic tee and wide-leg light-wash denim jeans. She carries a black tote bag and wears black sandals with a simple silver necklace and round glasses, showcasing a casual and relaxed style.",outfit for relaxed saturday brunch with friends at a quiet cafe in nakano during early autumn
70,"A photo of a Japanese woman wearing a long cream-colored dress layered with a black puffer vest and paired with olive green hiking boots. She is accessorized with a black baseball cap and a white tote bag, creating a casual and practical street style look. The outfit features neutral tones and comfortable, functional clothing items.","outfit for a light autumn stroll through Kyoto's Arashiyama bamboo groves, when a brief drizzle calls for a practical puffer vest and hiking boots"
71,"A photo of a Japanese woman wearing a black, long-line blazer over a black maxi dress with a simple neckline. She is accessorizing with a black, uniquely shaped handbag and black shoes, creating a minimalist and elegant monochrome outfit. The overall style is sophisticated and understated, leaning toward a modern, dark aesthetic.",outfit for a formal evening corporate dinner at a Tokyo hotel after a long day of business meetings
72,"A photo of a Japanese woman wearing a cream-colored t-shirt with black lettering, paired with wide-leg, pinstripe trousers in charcoal gray. She accessorizes with a black crossbody bag and black loafers, completing a relaxed and chic, slightly androgynous street style look.",outfit for a midweek creative meeting at a coworking space in shibuya
73,A photo of a Japanese woman wearing a black graphic t-shirt with orange lettering paired with golden-brown flared pants and black loafers. She also has a small black crossbody bag. The outfit presents a casual and retro-inspired fashion style.,outfit for a casual stroll through Nakano Broadway vintage shops on a mild summer afternoon
74,"A photo of a Japanese woman wearing a navy blue oversized blazer over a black long-sleeved top and matching fitted black pants. She accessorizes with a brown leather shoulder bag and classic black loafers, creating a chic and minimalist style.",outfit for a Monday morning meeting at a Tokyo law firm
75,"A photo of a Japanese woman wearing a long-sleeve white top layered with an olive green utility vest and a black ribbed maxi skirt. She accessorizes with a leopard print crossbody bag and a matching olive green baseball cap. Her footwear consists of chunky black and white sneakers, completing a casual and slightly edgy street style look.",outfit for a sunny spring morning walk through a cherry blossom lined street in Ueno park
76,"A photo of a Japanese woman wearing a cream-colored, textured knit top layered under a black nylon vest with a black maxi skirt and shiny black loafers. She accessorizes with a black shoulder bag and turquoise socks, completing a minimalist and sophisticated street style look with round glasses.",outfit for a late afternoon stroll through Ueno Park cherry blossom trees heading to a small cafe for tea
77,"A photo of a Japanese woman wearing a black and white varsity jacket with the number 96, a ruffled light blue blouse, a black mini skirt, white socks, and black lace-up shoes. The outfit presents a playful and preppy style with a touch of femininity from the ruffled top.",outfit for a high school student cheering at a spring baseball game after school
78,A photo of a Japanese woman wearing a long striped blue and white dress layered with a tan vest and paired with brown sandals. She is accessorized with a black baseball cap and carries a dark tote bag. The outfit features a relaxed and casual style with a focus on comfortable layers and neutral tones.,outfit for a casual day trip to the coastal town of Kamakura on a sunny summer afternoon
79,"A photo of a Japanese woman wearing a black Adidas track jacket with white stripes, paired with wide-leg patterned palazzo pants featuring black stripes down the sides, and black Adidas sneakers. The outfit combines sporty and retro elements for a relaxed, street style look. She is also wearing sunglasses.",outfit for a casual stroll through Harajuku on a sunny spring afternoon
80,"A photo of a Japanese woman wearing a dark wash denim jacket over a light blue button-down shirt and wide-leg, chocolate brown trousers. She completes the look with matching blue suede shoes, creating a relaxed and minimalist style. The outfit features classic pieces with a focus on comfortable, flowing silhouettes.",outfit for a relaxed Saturday morning stroll through a Kyoto street market picking up fresh produce and artisanal goods
81,"A photo of a Japanese woman wearing a tan trench coat over a pale pink knit sweater and dark wash denim jeans. She is also wearing white sneakers and carrying a beige tote bag, completing a casual and chic everyday look.",outfit for a mild autumn afternoon walking through Shinjuku to a coffee shop and meeting friends for lunch
82,"A photo of a Japanese woman wearing a white textured sweater paired with a flowing, dark green maxi skirt. She carries a beige tote bag and wears brown leather sandals. The outfit presents a relaxed and casual style with a touch of understated elegance.",outfit for a leisurely stroll through Kyoto's Maruyama Park during the plum blossom season
83,"A photo of a Japanese woman wearing a white long-sleeved top layered with a cream quilted vest and a green and white plaid midi skirt. She is also carrying a light brown shoulder bag and wearing dark brown loafers. The outfit has a cozy and vintage-inspired aesthetic, leaning towards a soft girl or cottagecore style.",outfit for a late spring stroll through Kyoto Arashiyama bamboo grove during a family outing
84,"A photo of a Japanese woman wearing a sheer white dress with lace detailing and puff sleeves. She pairs the dress with knee-high white socks adorned with ruffles, pale pink ballet flats, and carries a floral-patterned clutch. Her style is reminiscent of a vintage or dollcore aesthetic with a delicate and feminine feel.",outfit for a spring Hanami picnic in Yoyogi Park with friends
85,"A photo of a Japanese woman wearing a relaxed grey oversized cardigan over a navy blue turtleneck sweater and a flowing black pleated maxi skirt. She completes the look with black leather ankle boots and a crossbody bag, creating a chic and comfortable everyday style.",outfit for strolling through the leaf colored streets of Kyoto Higashiyama district on a crisp autumn afternoon
86,"A photo of a Japanese woman wearing a long-sleeved black cardigan over a black top, paired with a long, dark-wash denim skirt featuring a light gray panel at the hem. She is accessorizing with a silver tote bag and black pointed-toe shoes, showcasing a minimalist and chic style.",outfit for a midmorning client presentation at a glass walled office in Ginza
87,"A photo of a Japanese woman wearing a layered outfit featuring a beige cropped sweater, a white lace midi dress over red ruched pants, and carrying a dark brown mini handbag. The outfit combines cottagecore and vintage aesthetics with a focus on textured fabrics and a playful, feminine style.",outfit for a casual tea ceremony at a Kyoto tea house during autumn leaf viewing
88,"A photo of a Japanese woman wearing a heather grey knit set consisting of a cropped, wide-sleeved top and a high-waisted, long skirt. She accessorizes with a wide-brimmed black hat and clear sandals, creating a minimalist and comfortable fashion style.",outfit for a relaxed cherry blossom viewing stroll along the Meguro River in late March
89,"A photo of a Japanese woman wearing a long-sleeved red sweater paired with a unique black asymmetrical skirt and wide-leg trousers. She accessorizes with a light pink crossbody bag and two-toned shoes, creating a modern and layered fashion style. The outfit showcases a blend of classic and avant-garde elements with a focus on texture and shape.",outfit for attending a contemporary art gallery opening in Minami Aoyama on a crisp October evening
90,A photo of a Japanese woman wearing a white polka dot tiered dress with a black cardigan and knee-high white socks. She is also wearing black platform loafers and carrying a small black shoulder bag. The outfit embodies a cute and slightly vintage aesthetic with elements of Japanese street fashion.,outfit for strolling through Ueno Park on a sunny spring day to enjoy a cherry blossom picnic
91,A photo of a Japanese woman wearing a light blue oversized button-down shirt with black wide-leg trousers and silver sneakers. She accessorizes with a black baseball cap and carries a white tote bag with graphic text. The overall style is casual and relaxed with a touch of streetwear influence.,outfit for a casual summer brunch with friends at a trendy café in Shibuya
92,"A photo of a Japanese woman wearing a black long-sleeved knit top layered with a patterned brown vest, wide-leg white trousers, and black slip-on shoes. She is also carrying a small black shoulder bag, completing a casual and comfortable street style look.",outfit for a casual stroll through the autumnal streets of Tokyo Ueno Park on a cool October evening
93,"A photo of a Japanese woman wearing a white cropped varsity jacket with red and black detailing over a white lace crop top, paired with distressed wide-leg denim jeans featuring cross embroidery, and finished with white and red sneakers, showcasing a trendy and casual Y2K-inspired streetwear style.",outfit for a casual evening walk through shibuya neon streets on a warm summer night
94,"A photo of a Japanese woman wearing a light blue button-down shirt layered under a textured, pale yellow cardigan. She pairs wide-leg black trousers with silver pointed-toe shoes and accessorizes with black sunglasses and a puffy black handbag with a chain strap. The overall style is modern and slightly avant-garde with a touch of casual elegance.",outfit for attending a casual business lunch at a rooftop bar in Roppongi Hills during early autumn
95,"A photo of a Japanese woman wearing a brown leather jacket over a white t-shirt, a vibrant red and black plaid skirt layered over wide-leg blue denim jeans, and brown sandals. The outfit combines streetwear and grunge aesthetics with a playful, layered design. It’s a bold and unique fashion statement featuring contrasting colors and textures.",outfit for a weekend brunch at a cute cafe in Shimokitazawa on a sunny spring morning
96,"A photo of a Japanese woman wearing a long, light pink dress with a delicate floral pattern. She is accessorizing with a dark brown leather handbag and pointed black heels. The outfit showcases a feminine and elegant style, complemented by her sleek hairstyle.",outfit for a cherry blossom viewing picnic at Ueno Park in spring
97,"A photo of a Japanese woman wearing a light brown, button-up cardigan with puffy sleeves, paired with a flowing black maxi skirt and black ankle boots. She is carrying a small, black chain-strap handbag, completing a chic and casual outfit with a touch of elegance.",outfit for a leisurely walk through Kyoto Gion district in early autumn while sipping matcha at a traditional tea house
98,"A photo of a Japanese woman wearing a cream-colored lace knit sweater paired with wide-leg, taupe trousers. She is carrying a black top-handle bag and wearing black platform shoes. The outfit has a relaxed, sophisticated style with a touch of vintage charm.",outfit for a relaxed office lunch in a Tokyo corporate office during autumn
99,"A photo of a Japanese woman wearing a black, sleeveless top with a unique draped design and wide-leg, olive green trousers. She is also carrying a black tote bag and wearing simple sandals, creating a minimalist and comfortable fashion style.",outfit for a relaxed picnic at Ueno Park on a sunny spring afternoon carrying a tote bag and walking in sandals
100,"A photo of a Japanese woman wearing a black cropped jacket with a mandarin collar and long sleeves, paired with a long, flowing skirt featuring a dark blue and grey marbled pattern. She completes the look with black platform boots, creating a dramatic and avant-garde fashion style.",outfit for attending a contemporary art exhibition opening at Mori Art Museum in Tokyo after a corporate event where guests wear avant-garde ensembles
